speaker_id,word,vowel_id,syllable_type,duration,F1,F2,F3,sex
FELIX-02_mono,ab?,2,open,0.14572,510,1958,2574,male
OKRAH-08,ab?,2,open,0.14568,517,1829,2493,male
Moses-012_mono,hu,u,open,0.19958,256,796,2031,male
Osei-016_mono,?p?,4,open,0.12255,329,699,2172,male
Precious-015_mono,obi,o,closed,0.10563,408,658,2937,female
Precious-015_mono,?p?,1,open,0.10286,564,935,2248,female
FELIX-02_mono,ab?,a,closed,0.11743,761,1272,2019,male
Attah-021_mono,?di,i,open,0.13514,276,2073,2987,male
Moses-012_mono,s?,3,open,0.16288,436,2066,2718,male
Naura-017_mono,ad??,3,open,0.09577,439,2112,3859,female
Precious-015_mono,?p?,2,closed,0.11916,499,1887,2718,female
Eunice-008_mono,ab?,2,open,0.1046,500,2187,2830,female
Eric-020_mono,hu,u,open,0.11368,215,799,2434,male
OKRAH-08,?p?,4,open,0.11334,319,733,2432,male
FELIX-02_mono,obi,o,closed,0.14462,342,762,2269,male
FELIX-02_mono,ko,o,open,0.16175,372,894,2186,male
FELIX-02_mono,?p?,1,closed,0.14311,501,880,2124,male
FELIX-02_mono,k?,1,open,0.14404,635,903,2079,male
Moses-012_mono,ad??,a,closed,0.12642,730,1279,2359,male
Mary-018_mono,ab?,a,closed,0.10175,634,1307,2845,female
Boampong-009_mono,?p?,2,closed,0.07788,522,1696,2256,male
Cynthia-013_mono,?di,i,open,0.15526,281,2087,2634,female
Yaw-007_mono,ebi,i,open,0.15606,228,2096,3066,male
Osei-016_mono,?b?,2,open,0.10893,524,1644,2577,male
FELIX-02_mono,?b?,2,open,0.16594,524,1912,2507,male
Jane-022_mono,ab?,2,open,0.15445,503,2015,3744,female
Jane-022_mono,?b?,2,open,0.20065,506,1769,2854,female
Naura-017_mono,s?,3,open,0.13719,413,2212,3067,female
Mary-018_mono,hu,u,open,0.15383,401,810,2868,female
Attah-021_mono,?p?,4,open,0.12675,395,747,1954,male
OKRAH-08,ab?,a,closed,0.07777,759,1314,2646,male
Yaw-007_mono,ab?,a,closed,0.09817,740,1324,2282,male
OKRAH-08,s?,3,open,0.13332,396,1916,2457,male
OKRAH-08,ad??,3,open,0.09958,405,2370,3010,male
Osei-016_mono,ad??,3,open,0.09447,440,1849,2591,male
Cynthia-013_mono,obi,i,open,0.12309,272,2121,2560,female
Osei-016_mono,s?,3,open,0.14334,401,2010,2680,male
Precious-015_mono,s?,3,open,0.15947,458,1789,2500,female
Boampong-009_mono,?p?,2,closed,0.09899,526,1663,2223,male
Moses-012_mono,?b?,2,open,0.17845,528,1525,2424,male
OKRAH-08,hu,u,open,0.1372,254,859,2493,male
Eunice-008_mono,?p?,4,open,0.09645,397,748,2302,female
Boampong-009_mono,obi,o,closed,0.12113,244,685,2220,male
Boampong-009_mono,ko,o,open,0.09835,389,1273,2709,male
Boampong-009_mono,?p?,1,open,0.09569,404,739,2149,male
Boampong-009_mono,k?,1,open,0.10951,330,795,1940,male
Attah-021_mono,ab?,a,closed,0.06956,778,1333,2257,male
Naura-017_mono,fa,a,open,0.14719,858,1339,2125,female
Precious-015_mono,ad??,3,open,0.09762,377,1956,3516,female
Sly-022,s?,3,open,0.12414,488,2012,2464,male
Sly-022,ad??,3,open,0.12165,407,2253,2840,male
Moses-012_mono,ab?,2,open,0.15873,528,1691,2556,male
Eric-020_mono,fa,a,open,0.12792,607,1340,2311,male
Moses-012_mono,obi,i,open,0.15992,243,2137,2708,male
Attah-021_mono,?p?,2,closed,0.07269,529,1733,2298,male
Attah-021_mono,ab?,2,open,0.10988,529,1766,2587,male
FELIX-02_mono,?di,i,open,0.14253,220,2163,2923,male
FELIX-02_mono,?p?,2,closed,0.09105,531,1724,2375,male
Attah-021_mono,?b?,2,closed,0.0742,534,1854,2572,male
Vincent-019_mono,s?,3,open,0.15392,423,1827,2696,male
Sly-022,?du,u,open,0.19882,254,867,2496,male
Cynthia-013_mono,?p?,4,open,0.09534,422,758,2217,female
Vincent-019_mono,ab?,a,closed,0.07764,991,1376,2511,male
