speaker_id,word,vowel_id,syllable_type,duration,F1,F2,F3,sex
Yaw-007_mono,t?,4,open,0.10127,431,1171,2166,male
Mary-018_mono,da,a,open,0.20096,1057,1783,2635,female
Ama-023_mono,ab?,a,closed,0.08881,874,1793,2690,female
Jane-022_mono,k?,1,open,0.1618,783,1086,2376,female
Jane-022_mono,ko,o,open,0.19637,492,1018,2725,female
FELIX-02_mono,pue,e,open,0.16597,379,2096,2581,male
Boampong-009_mono,bue,e,open,0.10697,321,2093,2476,male
Cynthia-013_mono,bue,e,open,0.14739,401,2093,2642,female
FELIX-02_mono,?di,ae,closed,0.12464,526,1863,2553,male
Osei-016_mono,da,a,open,0.18754,667,1821,2743,male
Ama-023_mono,obi,i,open,0.2102,359,2711,3440,female
Vincent-019_mono,?di,ae,closed,0.08212,541,1685,2614,male
Eric-020_mono,?di,ae,closed,0.13129,558,1595,2664,male
Precious-015_mono,ebi,i,open,0.16196,267,2712,3587,female
Sly-022,?du,ae,closed,0.14265,572,1666,2277,male
Jane-022_mono,pue,e,open,0.20381,401,2092,2492,female
Eunice-008_mono,?du,u,open,0.16731,343,1376,2515,female
Eric-020_mono,t?,4,open,0.08992,407,1193,2101,male
Jane-022_mono,ab?,a,closed,0.09473,1069,1835,2575,female
Ama-023_mono,da,a,open,0.26511,747,1841,2774,female
Mary-018_mono,k?,1,open,0.19629,536,865,1173,female
Mary-018_mono,ko,o,open,0.24877,538,905,2671,female
Boampong-009_mono,pue,e,open,0.14523,305,2090,2681,male
Attah-021_mono,pue,e,open,0.14935,344,2085,2779,male
Precious-015_mono,ebi,e,closed,0.08997,436,2082,2427,female
Osei-016_mono,?du,ae,closed,0.09961,590,1733,2617,male
Naura-017_mono,da,a,open,0.1544,1069,1842,2776,female
Mary-018_mono,ebi,i,open,0.1089,288,2311,3165,female
Osei-016_mono,?di,ae,closed,0.09938,629,1684,2232,male
Ama-023_mono,?di,i,open,0.19579,253,2317,4110,female
Moses-012_mono,?di,ae,closed,0.12315,631,1708,2874,male
Cynthia-013_mono,?di,ae,closed,0.12223,645,1847,2527,female
Yaw-007_mono,bue,e,open,0.14461,379,2080,2796,male
Elizabeth-010_mono,?du,u,open,0.14002,301,2134,3180,female
Moses-012_mono,t?,4,open,0.15894,515,1210,2111,male
Elizabeth-010_mono,ab?,a,closed,0.09502,1165,1843,2734,female
Eunice-008_mono,ad??,a,closed,0.12333,890,1858,2632,female
Naura-017_mono,k?,1,open,0.1199,569,888,2549,female
Naura-017_mono,ko,o,open,0.11322,388,765,2727,female
Mary-018_mono,bue,e,open,0.15541,358,2071,2546,female
Cynthia-013_mono,ebi,e,closed,0.1197,420,2066,2801,female
Osei-016_mono,bue,e,open,0.11189,338,2056,2474,male
OKRAH-08,?di,ae,closed,0.15219,653,1675,2542,male
Jane-022_mono,ad??,a,closed,0.08139,850,1639,3584,female
Ama-023_mono,ebi,i,open,0.17604,256,2381,2862,female
Jane-022_mono,?du,ae,closed,0.11737,675,1721,3285,female
Jane-022_mono,ebi,i,open,0.17521,236,2145,2601,female
Sly-022,?di,ae,closed,0.11961,680,1825,2406,male
Elizabeth-010_mono,?du,ae,closed,0.10754,722,2112,2639,female
Ama-023_mono,pue,e,open,0.25213,350,2051,3064,female
OKRAH-08,?du,u,open,0.13025,286,2281,2507,male
Yaw-007_mono,?p?,4,open,0.10483,536,1034,2657,male
Mary-018_mono,ad??,a,closed,0.1086,819,1507,3117,female
Jane-022_mono,da,a,open,0.21995,752,1621,2900,female
Precious-015_mono,k?,1,open,0.18898,608,982,3237,female
Precious-015_mono,ko,o,open,0.16745,463,889,2990,female
Sly-022,pue,e,open,0.15114,473,2046,2554,male
Sly-022,gyidie,e,open,0.14925,453,2038,2632,male
Yaw-007_mono,gyidie,e,open,0.14845,349,2029,2847,male
Cynthia-013_mono,pue,e,open,0.1536,461,2026,2602,female
Moses-012_mono,bue,e,open,0.15429,404,1982,2266,male
Jane-022_mono,bue,e,open,0.22152,325,1972,3103,female
Boampong-009_mono,gyidie,e,open,0.16527,326,1971,2697,male
FELIX-02_mono,gyidie,e,open,0.17652,385,1970,2504,male
Moses-012_mono,pue,e,open,0.1497,393,1959,2669,male
Yaw-007_mono,pue,e,open,0.10492,468,1927,2929,male
Sly-022,bue,e,open,0.18416,485,1926,2738,male
Eric-020_mono,pue,e,open,0.10864,300,1917,2502,male
Moses-012_mono,ebi,e,closed,0.09142,372,1862,2591,male
Osei-016_mono,ebi,e,closed,0.09805,376,1861,2534,male
Osei-016_mono,gyidie,e,open,0.21305,394,1841,2698,male
Eunice-008_mono,ebi,e,closed,0.12456,391,1837,2397,female
Jane-022_mono,ebi,e,closed,0.1016,362,1702,2681,female
