name,Frequency,Intensity
blow,0,11.028421608993963
blow,10.7666015625,20.33368259530263
blow,21.533203125,22.782658839193758
blow,32.2998046875,18.0306918015714
blow,43.06640625,14.69911371668987
blow,53.8330078125,15.214770539679352
blow,64.599609375,16.903235216142786
blow,75.3662109375,19.760328226083807
blow,86.1328125,18.173143724938846
blow,96.8994140625,20.120927059125666
blow,107.666015625,12.879673809606022
blow,118.4326171875,7.704744481277251
blow,129.19921875,12.00777815488043
blow,139.9658203125,2.119680346815213
blow,150.732421875,14.17048406125788
blow,161.4990234375,11.192684027033257
blow,172.265625,16.416081855742856
blow,183.0322265625,5.6409666467129895
blow,193.798828125,5.354434872543516
blow,204.5654296875,13.623528412325852
blow,215.33203125,8.685443891477707
blow,226.0986328125,13.165047670951619
blow,236.865234375,17.764832752217913
blow,247.6318359375,14.40266140102793
blow,258.3984375,-5.308572806489248
blow,269.1650390625,10.646966383942992
blow,279.931640625,16.99978027624448
blow,290.6982421875,11.621203935740958
blow,301.46484375,13.46958779126153
blow,312.2314453125,12.297204320314387
blow,322.998046875,8.652887866852042
blow,333.7646484375,18.753424060732986
blow,344.53125,20.224393141460123
blow,355.2978515625,16.7790707162703
blow,366.064453125,17.593842328078868
blow,376.8310546875,20.359514566309098
blow,387.59765625,26.874587971092232
blow,398.3642578125,20.235755243296367
blow,409.130859375,10.873275455003936
blow,419.8974609375,25.104216392632715
blow,430.6640625,22.755307542824212
blow,441.4306640625,16.915898992461898
blow,452.197265625,17.37769888728915
blow,462.9638671875,18.537234931934623
blow,473.73046875,5.432793765795562
blow,484.4970703125,8.318868004533693
blow,495.263671875,6.582429059659402
blow,506.0302734375,17.337115645236935
blow,516.796875,2.8069321271521765
blow,527.5634765625,13.939293631426338
blow,538.330078125,7.392957563875337
blow,549.0966796875,22.26633332143971
blow,559.86328125,23.268678349684606
blow,570.6298828125,19.080984457609546
blow,581.396484375,-3.456576821241055
blow,592.1630859375,21.330538751668257
blow,602.9296875,18.549380295653872
blow,613.6962890625,28.634739440072398
blow,624.462890625,25.231853228525573
blow,635.2294921875,20.402686429785213
blow,645.99609375,25.160911785666773
blow,656.7626953125,27.01492474497424
blow,667.529296875,25.026649784342652
blow,678.2958984375,28.767095433012667
blow,689.0625,32.25209122396863
blow,699.8291015625,37.461387685449154
blow,710.595703125,32.329373188028015
blow,721.3623046875,25.896673934211847
blow,732.12890625,23.965961245736306
blow,742.8955078125,26.328318979069696
blow,753.662109375,19.14473825682005
blow,764.4287109375,15.487155476592074
blow,775.1953125,15.076854430874171
blow,785.9619140625,4.06621607319136
blow,796.728515625,13.420354061971489
blow,807.4951171875,17.11795637930415
blow,818.26171875,18.161068325123686
blow,829.0283203125,14.608454784983493
blow,839.794921875,23.456807977541988
blow,850.5615234375,10.881046895031712
blow,861.328125,23.087339286966863
blow,872.0947265625,6.395467899679668
blow,882.861328125,17.128788256975223
blow,893.6279296875,0.2693813029413091
blow,904.39453125,15.481365287390211
blow,915.1611328125,13.431540619647988
blow,925.927734375,12.759255485859866
blow,936.6943359375,16.997277748962546
blow,947.4609375,12.04078092921807
blow,958.2275390625,8.142493499056467
blow,968.994140625,19.697799120934146
blow,979.7607421875,19.91775475592671
blow,990.52734375,12.539896981519052
blow,1001.2939453125,2.731450881870681
blow,1012.060546875,8.264532223346352
blow,1022.8271484375,12.39035223978676
blow,1033.59375,11.853556165977217
blow,1044.3603515625,12.26601145226245
blow,1055.126953125,7.90139796165926
blow,1065.8935546875,11.001123474341252
blow,1076.66015625,8.693500150667578
blow,1087.4267578125,11.561580348918527
blow,1098.193359375,-8.635194172753373
blow,1108.9599609375,12.820781308989611
blow,1119.7265625,12.33798139268908
blow,1130.4931640625,8.913482108997027
