speaker_id,word,vowel_id,duration,F1,F2,F3
Osei-016_mono,f?,3,0.11703,363,1865,2442
Osei-016_mono,k?,1,0.12056,763,1147,2345
Osei-016_mono,hu,u,0.13106,552,1489,1936
Osei-016_mono,f?,4,0.13559,529,1464,2244
Osei-016_mono,ko:ko,o:,0.13636,514,1575,2151
Osei-016_mono,ko,o,0.15123,492,1400,2238
Osei-016_mono,d?,2,0.15863,483,1942,2762
Osei-016_mono,da,a,0.18754,667,1821,2743
Osei-016_mono,f?:,44,0.19952,680,1665,2879
Osei-016_mono,k?:,11,0.40812,422,695,2111
Osei-016_mono,pi:,i:,0.41194,193,2152,3438
Osei-016_mono,da:,a:,0.70714,866,1919,2851
Osei-016_mono,hu:,u:,0.71093,295,898,2204
Osei-016_mono,d?:,22,0.72984,592,1856,2965
Osei-016_mono,f?:,33,0.70961,491,2227,2972
Precious-015_mono,hu,u,0.10128,292,586,3017
Precious-015_mono,pi,i,0.11347,277,2887,3145
Precious-015_mono,f?,4,0.1665,473,796,3026
Precious-015_mono,ko,o,0.16745,463,889,2990
Precious-015_mono,d?,2,0.18359,509,2430,2858
Precious-015_mono,k?,1,0.18898,608,982,3237
Precious-015_mono,da,a,0.20899,720,1618,2284
Precious-015_mono,f?:n?:,44,0.21124,318,970,2628
Precious-015_mono,ko:ko,o:,0.24281,478,1338,2779
Precious-015_mono,f?,3,0.27374,487,1917,2547
Precious-015_mono,hu:,u:,0.39414,246,437,2612
Precious-015_mono,pi:,i:,0.44335,261,1569,3204
Precious-015_mono,da:,a:,0.49585,441,1396,2427
Precious-015_mono,f?:,33,0.54613,471,1920,2520
Precious-015_mono,d?:,22,0.55262,460,2370,2574
Precious-015_mono,k?:,11,0.5951,446,740,2956
Sly-022,pi,i,0.10754,286,2128,2551
Sly-022,d?,2,0.13263,484,1999,2528
Sly-022,ko,o,0.14664,490,849,2085
Sly-022,k?,1,0.15157,497,736,1977
Sly-022,f?,4,0.16034,488,778,2139
Sly-022,ko:ko,o:,0.16642,458,876,2226
Sly-022,hu,u,0.17401,306,767,2185
Sly-022,f?,3,0.18157,517,1815,2326
Sly-022,da,a,0.18482,761,1589,2264
Sly-022,f?:n?:,44,0.20006,342,897,2093
Sly-022,pi:,i:,0.50139,248,2280,2968
Sly-022,da:,a:,0.5058,702,1783,2348
Sly-022,d?:,22,0.52203,484,852,2083
Sly-022,f?:,33,0.54462,450,2288,2656
Sly-022,k?:,11,0.56632,442,632,2044
Sly-022,hu:,u:,0.61919,288,654,2165
Vincent-019_mono,k?,1,0.08553,555,817,2153
Vincent-019_mono,pi,i,0.10178,284,2077,3096
Vincent-019_mono,hu,u,0.10921,246,687,2231
Vincent-019_mono,f?,3,0.11072,401,1995,2813
Vincent-019_mono,f?,4,0.11225,602,759,2044
Vincent-019_mono,ko,o,0.11692,432,627,2583
Vincent-019_mono,d?,2,0.12256,431,2055,3014
Vincent-019_mono,da,a,0.1349,758,1717,2661
Vincent-019_mono,ko:ko,o:,0.13839,345,698,2596
Vincent-019_mono,f?:n?:,44,0.21752,527,643,2344
Vincent-019_mono,da:,a:,0.57331,858,1575,2498
Vincent-019_mono,pi:,i:,0.57423,295,2173,3342
Vincent-019_mono,hu:,u:,0.62744,239,563,2265
Vincent-019_mono,f?:,33,0.63198,366,2044,2864
Vincent-019_mono,d?:,22,0.63386,477,2148,2659
Vincent-019_mono,k?:,11,0.67908,552,675,2421
Yaw-007_mono,pi,i,0.1005,511,1859,3270
Yaw-007_mono,f?,4,0.10528,463,1278,2273
Yaw-007_mono,f?,3,0.11179,413,1924,2353
Yaw-007_mono,k?,1,0.11505,605,1148,1943
Yaw-007_mono,ko:ko,o:,0.13147,485,1531,2327
